Keyboard    isT:True|| cnt:38 || typee:1 || time:27157 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:39 || typee:3 || time:27158 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:40 || typee:2 || time:27228 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:41 || typee:1 || time:27229 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:42 || typee:3 || time:27230 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:43 || typee:2 || time:27305 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:44 || typee:1 || time:27343 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:45 || typee:3 || time:27344 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:46 || typee:1 || time:27420 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:47 || typee:3 || time:27420 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:48 || typee:2 || time:27432 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:49 || typee:2 || time:27496 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:50 || typee:1 || time:27584 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:51 || typee:3 || time:27585 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:52 || typee:2 || time:27660 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:53 || typee:1 || time:27738 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:54 || typee:3 || time:27739 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:55 || typee:1 || time:27807 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:56 || typee:3 || time:27807 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:57 || typee:2 || time:27809 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:58 || typee:2 || time:27875 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:59 || typee:1 || time:27901 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:60 || typee:3 || time:27902 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:61 || typee:2 || time:27950 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:62 || typee:1 || time:28035 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:63 || typee:3 || time:28036 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
Keyboard    isT:True|| cnt:64 || typee:2 || time:28110 || n:-2 || l:0 || specialKeys:0 || sumCharName:1230 || shift:False || ctrl:False || meta:False || alt:False
