0,1,2091,-4,0,0,-1
1,2,2137,-4,0,0,-1
2,1,13000,-2,0,0,1230
3,3,13002,-2,0,0,1230
4,2,13088,-2,0,0,1230
5,1,13172,-2,0,0,1230
6,3,13173,-2,0,0,1230
7,2,13281,-2,0,0,1230
8,1,13345,-2,0,0,1230
9,3,13346,-2,0,0,1230
10,2,13402,-2,0,0,1230
11,1,13433,-2,0,0,1230
12,3,13434,-2,0,0,1230
13,2,13550,-2,0,0,1230
14,1,14471,16,0,8,1230
15,1,15219,-2,0,8,1230
16,3,15219,-2,0,8,1230
17,2,15302,-2,0,8,1230
18,2,15595,16,0,0,1230
19,1,17587,-2,0,0,883
20,3,17588,-2,0,0,883
21,1,17674,-2,0,0,883
22,3,17675,-2,0,0,883
23,2,17698,-2,0,0,883
24,2,17762,-2,0,0,883
25,1,17811,-2,0,0,883
26,3,17812,-2,0,0,883
27,2,17907,-2,0,0,883
28,1,17947,-2,0,0,883
29,3,17948,-2,0,0,883
30,2,18043,-2,0,0,883
31,1,26334,8,0,0,1230
32,2,26412,8,0,0,1230
33,1,26666,16,0,8,1230
34,1,26807,-2,0,8,1230
35,3,26807,-2,0,8,1230
36,2,26938,-2,0,8,1230
37,2,27007,16,0,0,1230
38,1,27157,-2,0,0,1230
39,3,27158,-2,0,0,1230
40,2,27228,-2,0,0,1230
41,1,27229,-2,0,0,1230
42,3,27230,-2,0,0,1230
43,2,27305,-2,0,0,1230
44,1,27343,-2,0,0,1230
45,3,27344,-2,0,0,1230
46,1,27420,-2,0,0,1230
47,3,27420,-2,0,0,1230
48,2,27432,-2,0,0,1230
49,2,27496,-2,0,0,1230
50,1,27584,-2,0,0,1230
51,3,27585,-2,0,0,1230
52,2,27660,-2,0,0,1230
53,1,27738,-2,0,0,1230
54,3,27739,-2,0,0,1230
55,1,27807,-2,0,0,1230
56,3,27807,-2,0,0,1230
57,2,27809,-2,0,0,1230
58,2,27875,-2,0,0,1230
59,1,27901,-2,0,0,1230
60,3,27902,-2,0,0,1230
61,2,27950,-2,0,0,1230
62,1,28035,-2,0,0,1230
63,3,28036,-2,0,0,1230
64,2,28110,-2,0,0,1230
